Song;Author_band;Songwriters;Duration;Album;Album_type;No_on_album;Release_date;Link;Lyrics
...And Justice for All;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;9:46;...And Justice for All;Album;2;1988-08-25;https://www.metallica.com/songs/and-justice-for-all.html;Halls of justice painted green,Money talking,Power wolves beset your door,Hear them stalking,Soon you’ll please their appetite,They devour,Hammer of justice crushes you,Overpower, ,The ultimate in vanity,Exploiting their supremacy,I can’t believe the things you say,I can’t believe,I can’t believe the price you pay,Nothing can save you, ,Justice is lost,Justice is raped,Justice is gone,Pulling your strings,Justice is done,Seeking no truth,Winning is all,Find it so grim,So true,So real, ,Apathy their stepping stone,So unfeeling,Hidden deep animosity,So deceiving,Through your eyes their light burns,Hoping to find,Inquisition sinking you,With prying minds, ,The ultimate in vanity,Exploiting their supremacy,I can’t believe the things you say,I can’t believe,I can’t believe the price you pay,Nothing can save you, ,Justice is lost,Justice is raped,Justice is gone,Pulling your strings,Justice is done,Seeking no truth,Winning is all,Find it so grim,So true,So real, ,Lady Justice has been raped,Truth assassin,Rolls of red tape seal your lips,Now you’re done in,Their money tips her scales again,Make your deal,Just what is truth? I cannot tell,Cannot feel, ,The ultimate in vanity,Exploiting their supremacy,I can’t believe the things you say,I can’t believe,I can’t believe the price you pay,Nothing can save you, ,Justice is lost,Justice is raped,Justice is gone,Pulling your strings,Justice is done,Seeking no truth,Winning is all,Find it so grim,So true,So real, ,Seeking no truth,Winning is all,Find it so grim,So true,So real
(Anesthesia) - Pulling Teeth;Metallica;Cliff Burton;4:14;Kill 'Em All;Album;5;1983-07-25;https://www.metallica.com/songs/anesthesia-pulling-teeth.html;Instrumental
Astronomy;Blue Öyster Cult;Sandy Pearlman,Albert Bouchard,Joe Bouchard;6:37;Garage Inc.;Covers;8;1998-11-24;https://www.metallica.com/songs/astronomy.html;Clock strikes twelve and moondrops burst,Out at you from their hiding place,Like acid and oil on a madman’s face,His reasons tends to fly away,Like lesser birds on the four winds,Like silver scrapes in May,Now the sands become a crust,And most of you have gone away, ,Come Susie dear let’s take a walk,Just out there upon the beach,I know you’ll soon be married,And you’ll want to know where wind comes from,Well it’s never said at all,On the map that Carrie reads,Behind the clock back there you know,At the Four Winds Bar, ,Hey!,Hey!,Hey!,Hey!, ,Four winds at the Four Winds Bar,Two doors locked and windows barred,One door left to take you in,The other one just mirrors it, ,Hey!,Hey!,Hey!,Hey!, ,Hellish glare and inference,The other one’s a duplicate,The queenly flux eternal light,Or the light that never warms,Yes the light that never never warms,Yes the light that never never warms never warms never warms, ,The clock strikes twelve and moondrops burst,Out at you from their hiding place,Miss Carrie Nurse and Susie dear,Would find themselves at Four Winds Bar, ,It’s the nexus of the crisis,And the origin of storms,Just the place to hopelessly,Encounter time and then came me, ,Hey!,Hey!,Hey!,Hey!, ,Call me Desdinova,Eternal light,These gravely digs of mine,Will surely prove a sight,And don’t forget my dog,Fixed and consequent, ,Astronomy - a star
Atlas, Rise!;Metallica;James Hetfield,Lars Ulrich;6:28;Hardwired... to Self-Destruct;Album;2;2016-11-18;https://www.metallica.com/songs/atlas-rise.html;Bitterness and burden,Curses rest on thee,Solitaire and sorrow,All Eternity, ,Save the Earth and claim perfection,Deem the mass and blame rejection,Hold the pose reign perception,Grudges break your back, ,All you bear,All you carry,All you bear,Place it right on right on me, ,Die as you suffer in vain,Own all the grief and the pain,Die as you hold up the skies,Atlas Rise!, ,How does it feel on your own?,Bound by the world all alone,Crushed under heavy skies,Atlas Rise!, ,Crucify and witness,Circling the sun,Bastardize and ruin,What have you become?, ,Blame the world and blame your maker,Wish ‘em to the undertaker,Crown yourself the other savior,So you carry on, ,All you bear,All you carry,All you bear,Place it right on me right on me, ,Die as you suffer in vain,Own all the grief and the pain,Die as you hold up the skies,Atlas Rise!, ,How does it feel on your own?,Bound by the world all alone,Crushed under heavy skies,Crushed under heavy skies,Atlas Rise!, ,Masquerade as maker,Heavy is the crown,Beaten down and broken,Drama wears you down, ,Overload the martyr stumbles,Hit the ground and heaven crumbles,All alone the fear shall humble,Swallow all your pride, ,All you bear,All you carry,All you bear,Place it right on right on me, ,Die as you suffer in vain,Own all the grief and the pain,Die as you hold up the skies,Atlas Rise!, ,How does it feel on your own?,Bound by the world all alone,Crushed under heavy skies,Crushed under heavy skies,Atlas Rise!
Attitude;Metallica;James Hetfield,Lars Ulrich;5:17;Reload;Album;12;1997-11-18;https://www.metallica.com/songs/attitude.html;Suppose I say “I’m never satisfied”,Suppose I say “You cut some root to make the tree survive”, ,Just let me kill you for a while,Just let me kill you for a smile,Just let me kill you once,I’m oh so bored to death, ,I hunger,I hunger,I eat, ,Born into attitude,Asleep at the wheel,Throw all your bullets in the fire,And run like hell,Why cure the fever?,Whatever happened to sweat?, ,Suppose I say “The vultures smile at me”,Suppose I say “I’ve sent them down and they plan to pick you clean”, ,And satisfaction this way comes,And satisfaction this way comes,And satisfaction’s here and gone gone,Gone again, ,I hunger,I hunger,I eat, ,Born into attitude,Asleep at the wheel,Throw all your bullets in the fire,And stand there, ,Born into attitude,Twist mother tongue,Throw all your bullets in the fire,And run like hell,Why cure the fever?,Whatever happened to sweat?, ,Just let me kill you for a while,Just let me kill you for a smile,Just let me kill you once for me,I’m bored to death, ,And satisfaction this way comes,And satisfaction this way comes,And satisfaction’s here and gone gone,Gone again, ,I hunger,I hunger,I eat, ,Born into attitude,Asleep at the wheel,Throw all your bullets in the fire,And stand there, ,Born into attitude,Twist mother tongue,Throwing all your bullets in the fire,And run like hell,Why cure the fever?,Whatever happened to sweat?
Bad Seed;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;4:05;Reload;Album;8;1997-11-18;https://www.metallica.com/songs/bad-seed.html;Come clean fess up,Tell all spill gut,Off the veil stand revealed,Show the cards bring it on break the seal, ,Ladies and gentlemen step right up,And see the man who told the truth, ,Swing the noose again,Pierce the apple skin,You bit more than you need,Now you’re choking on,the bad seed,On the bad seed,Choking, ,Let on load off,Confess cast off,At the mercy the cat is out,Drop the disguise spit it up spit it out, ,And now what you’ve all been waiting for,I give you “He Who Suffers the Truth”, ,Swing the noose again,Pierce the apple skin,You bit more than you need,Now you’re choking on the bad seed,Choking on the bad seed, ,Off the veil stand revealed,Bring it on break the seal,At the mercy cat is out,Spit it up spit it out,Spit it up spit it out,Spit it out now, ,At the mercy, ,Swing the noose again,Pierce the apple skin,You bit more than you need,Choking on the seed, ,Swing the noose again,Pierce the apple skin,You bit more than you need,You’re choking on the bad seed, ,Off the veil stand revealed,Bring it on break the seal,At the mercy cat is out,Spit it up spit it out,Spit it up spit it out,Spit it out now, ,Choking on the bad seed
Battery;Metallica;James Hetfield,Lars Ulrich;5:13;Master of Puppets;Album;1;1986-03-03;https://www.metallica.com/songs/battery.html;Lashing out the action returning the reaction,Weak are ripped and torn away,Hypnotizing power crushing all that cower,Battery is here to stay, ,Smashing through the boundaries,Lunacy has found me,Cannot stop the battery,Pounding out aggression,Turns into obsession,Cannot kill the battery, ,Cannot kill the family,Battery is found in me, ,Battery, ,Crushing all deceivers mashing non-believers,Never-ending potency,Hungry violence-seeker feeding off the weaker,Breeding on insanity, ,Smashing through the boundaries,Lunacy has found me,Cannot stop the battery,Pounding out aggression,Turns into obsession,Cannot kill the battery, ,Cannot kill the family,Battery is found in me, ,Battery,Battery, ,Circle of destruction hammer comes crushing,Powerhouse of energy,Whipping up a fury dominating flurry,We create the battery, ,Smashing through the boundaries,Lunacy has found me,Cannot stop the battery,Pounding out aggression,Turns into obsession,Cannot kill the battery, ,Cannot kill the family,Battery is found in me, ,Battery
Better Than You;Metallica;James Hetfield,Lars Ulrich;5:21;Reload;Album;5;1997-11-18;https://www.metallica.com/songs/better-than-you.html;I look at you then you me,Hungry and thirsty are we,Holding the lion’s share holding the key,Holding me back ‘cause I’m striving to be, ,Better than you,Better than you, ,Lock horns I push and I strive,Somehow I feel more alive,Bury the need for it bury the seed,Bury me deep when there’s no will to be, ,Better than you,Better than you, ,Can’t stop this train from rolling,Nothing brings me down,No can’t stop this train from rolling on and on on,Forever on and on, ,Can’t stop this train from rolling,You can’t take it down,No never stop this locomotion on and on and on,No you can’t bring me down ‘cause I’m, ,Better than you,Better than you
Blackened;Metallica;James Hetfield,Lars Ulrich,Jason Newsted;6:42;...And Justice for All;Album;1;1988-08-25;https://www.metallica.com/songs/blackened.html;Blackened is the end,Winter it will send,Throwing all you see,Into obscurity, ,Death of Mother Earth,Never a rebirth,Evolution’s end,Never will it mend, ,Never, ,Fire,To begin whipping dance of the dead,Blackened is the end,To begin whipping dance of the dead,Color our world blackened, ,Blistering of earth,Terminate its worth,Deadly nicotine,Kills what might have been, ,Callous frigid chill,Nothing left to kill,Never seen before,Breathing nevermore, ,Never, ,Fire,To begin whipping dance of the dead,Blackened is the end,To begin whipping dance of the dead,Color our world blackened, ,Blackened, ,Opposition... contradiction... premonition... compromise,Agitation... violation... mutilation... planet dies, ,Darkest color,Blistered earth,True death of life, ,Termination... expiration... cancellation... human race,Expectation... liberation... population... lay to waste, ,See our mother,Put to death,See our mother die, ,Smoldering decay,Take her breath away,Millions of our years,In minutes disappears, ,Darkening in vain,Decadence remains,All is said and done,Never is the sun, ,Never, ,Fire,To begin whipping dance of the dead,Blackened is the end,To begin whipping dance of the dead,Fire,Is the outcome of hypocrisy,Darkest potency,In the exit of humanity,Color our world blackened, ,Blackened
Bleeding Me;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;8:18;Load;Album;7;1996-06-04;https://www.metallica.com/songs/bleeding-me.html;I’m digging my way,I’m digging my way to something,I’m digging my way to something better, ,I’m pushing to stay,I’m pushing to stay with something,I’m pushing to stay with something better, ,I’m sowing the seeds,I’m sowing the seeds I’ve taken,I’m sowing the seeds I take for granted, ,This thorn in my side,This thorn in my side is from the tree,This thorn in my side is from the tree I’ve planted, ,It tears me and I bleed,And I bleed, ,Caught under wheels’ roll,I take the leech I’m bleeding me,Can’t stop to save my soul,I take the leash that’s leading me,I’m bleeding me,I can’t take it,Caught under wheels’ roll,The bleeding of me,Of me,The bleeding of me, ,I am the beast that feeds the feast,I am the blood I am release, ,Come make me pure,Bleed me a cure,I’m caught I’m caught I’m caught under, ,Caught under wheels’ roll,I take that leech I’m bleeding me,Can’t stop to save my soul,I take the leash that’s leading me,I’m bleeding me,I can’t take it,I can’t take it,I can’t take it,The bleeding of me, ,I’m digging my way,I’m digging my way to something,I’m digging my way to something better, ,I’m pushing to stay,I’m pushing to stay with something,I’m pushing to stay with something better,With something better
