Song;Author_band;Songwriters;Duration;Album;Album_type;No_on_album;Release_date;Link;Lyrics
Dream No More;Metallica;James Hetfield,Lars Ulrich;6:29;Hardwired... to Self-Destruct;Album;5;2016-11-18;https://www.metallica.com/songs/dream-no-more.html;He sleeps under black seas waiting,Lies dreaming in death,He sleeps under cosmos shaking,Stars granting his breath, ,He wakes as the world dies screaming,All horrors arrive,He wakes giving earth its bleeding,Pure madness alive, ,And He haunts you,And He binds your soul,And He loathes you,And reclaims it all, ,You turn to stone,Can’t look away,You turn to stone,Madness they say, ,Cthulhu awaken, ,He sways in abyss returning,Inhaling black skies,He shakes with a torture burning,All lost in his eyes, ,And He haunts you,And He binds your soul,And He loathes you,And reclaims it all, ,You turn to stone,Can’t look away,You turn to stone,Madness they say, ,Cthulhu awaken, ,You turn to stone,Can’t look away,You turn to stone,Madness they say, ,Sanity taken,Seething damnation,Cthulhu awaken,(Wake) Winged salvation,Death by creation,Cthulhu awaken,(Wake) Dreaming no more, ,Cthulhu awaken,(Wake) Dreaming no more,Cthulhu awaken,(Wake) Dreaming no more
Dyers Eve;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;5:14;...And Justice for All;Album;9;1988-08-25;https://www.metallica.com/songs/dyers-eve.html;Dear Mother,Dear Father,What is this hell you have put me through,Believer,Deceiver,Day in day out live my life through you,Pushed onto me what’s wrong or right,Hidden from this thing that they call life, ,Dear Mother,Dear Father,Every thought I’d think you’d disapprove,Curator,Dictator,Always censoring my every move,Children are seen but are not heard,Tear out everything inspired, ,Innocence,Torn from me without your shelter,Barred reality,I’m living blindly, ,Dear Mother,Dear Father,Time has frozen still what’s left to be,Hear nothing,Say nothing,Cannot face the fact I think for me,No guarantee it’s life as is,But damn you for not giving me my chance, ,Dear Mother,Dear Father,You’ve clipped my wings before I learned to fly,Unspoiled,Unspoken,I’ve outgrown that fucking lullaby,Same thing I’ve always heard from you,Do as I say not as I do, ,Innocence,Torn from me without your shelter,Barred reality,I’m living blindly, ,I’m in hell without you,Cannot cope without you two,Shocked at the world that I see,Innocent victim please rescue me, ,Dear Mother,Dear Father,Hidden in your world you’ve made for me,I’m seething,I’m bleeding,Ripping wounds in me that never heal,Undying spite I feel for you,Living out this hell you always knew
The Ecstasy of Gold;Ennio Morricone;Ennio Morricone;3:50;We All Love Ennio Morricone;Compilation;5;2007-02-19;https://www.metallica.com/songs/the-ecstasy-of-gold.html;Instrumental
The End of the Line;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;7:50;Death Magnetic;Album;2;2008-09-12;https://www.metallica.com/songs/the-end-of-the-line.html;Need... more and more,Tainted misery,Bleed... battle scars,Chemical affinity,Reign... legacy,Innocence corrode,Stain... rot away,Catatonic overload, ,Choke... asphyxia,Snuff reality,Scorch... kill the light,Incinerate celebrity,Reaper... butchery,Karma amputee,Bloodline... redefine,Death contagious deity, ,Hooked into this deceiver,Need more and more,Into the endless fever,Need more and more, ,New consequence machine,You burn through all your gasoline,Asylum overtime,Nevermind...,You’ve reached the end of the line, ,Time... Choke the clock,Steal another day,Die... Faithfully,Narcissistic fade away,Twisted... Jump the rail,Shatter the crowd below,Breaker... Chase the ghost,From latest high to all-time low, ,Hooked into this deceiver,Need more and more,Into the endless fever,Need more and more, ,New consequence machine,Burn through all your gasoline,Asylum overtime,Nevermind...,You’ve reached the end of the line, ,Drop the hourglass of time,Spilling sand we will not find,As we gather here today,We bid farewell...,The slave becomes the master,The slave becomes the master,The slave becomes the master, ,The slave becomes the master,Need more and more,Right now and ever after,Need more and more, ,New consequence machine,Burn through all your gasoline,Asylum overtime,Nevermind...,Dead hourglass of time,Sand we will not ever find,We gather here today,Say goodbye,Cause you’ve reached the end of the line,The end of the line,The end of the line,The end of the line,You’ve reached the end of the line
Enter Sandman;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;5:31;Metallica;Album;1;1991-08-12;https://www.metallica.com/songs/enter-sandman.html;Say your prayers little one,Don’t forget my son,To include everyone,Tuck you in warm within,Keep you free from sin,Till the sandman he comes, ,Sleep with one eye open,Gripping your pillow tight, ,Exit: light,Enter: night,Take my hand,We’re off to never never land, ,Something’s wrong shut the light,Heavy thoughts tonight,And they aren’t of Snow White,Dreams of war dreams of liars,Dreams of dragon’s fire,And of things that will bite, ,Sleep with one eye open,Gripping your pillow tight, ,Exit: light,Enter: night,Take my hand,We’re off to never never land, ,Now I lay me down to sleep,Pray the Lord my soul to keep,If I die before I wake,Pray the Lord my soul to take,Hush little baby don’t say a word,And never mind that noise you heard,It’s just the beasts under your bed,In your closet in your head, ,Exit: light,Enter: night,Grain of sand,Exit: light,Enter: night,Take my hand,We’re off to never never land
Escape;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;4:24;Ride the Lightning;Album;6;1984-07-27;https://www.metallica.com/songs/escape.html;Feel no pain but my life ain’t easy,I know I’m my best friend,No one cares but I’m so much stronger,I’ll fight until the end, ,To escape from the true false world,Undamaged destiny,Can’t get caught in the endless circle,Ring of stupidity, ,Out for my own out to be free,One with my mind they just can’t see,No need to hear things that they say,Life’s for my own to live my own way, ,Rape my mind and destroy my feelings,Don’t tell me what to do,I don’t care now ‘cause I’m on my side,And I can see through you, ,Feed my brain with your so-called standards,Who says that I ain’t right?,Break away from your common fashion,See through your blurry sight, ,Out for my own out to be free,One with my mind they just can’t see,No need to hear things that they say,Life’s for my own to live my own way, ,See them try to bring the hammer down,No damn chains can hold me to the ground, ,Life’s for my own to live my own way
Eye of the Beholder;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;6:25;...And Justice for All;Album;3;1988-08-25;https://www.metallica.com/songs/eye-of-the-beholder.html;Do you see what I see?,Truth is an offense,Your silence for your confidence, ,Do you hear what I hear?,Doors are slamming shut,Limit your imagination keep you where they must, ,Do you feel what I feel?,Bittering distress,Who decides what you express?, ,Do you take what I take?,Endurance is the word,Moving back instead of forward seems to me absurd, ,Doesn’t matter what you see,Or into it what you read,You can do it your own way,If it’s done just how I say, ,Independence limited,Freedom of choice,Choice is made for you my friend,Freedom of speech,Speech is words that they will bend,Freedom with their exception, ,Do you fear what I fear?,Living properly,Truths to you are lies to me, ,Do you choose what I choose?,More alternatives,Energy derives from both the plus and negative, ,Do you need what I need?,Boundaries overthrown,Look inside to each his own, ,Do you trust what I trust?,Me myself and I,Penetrate the smoke screen I see through the selfish lie, ,Doesn’t matter what you see,Or into it what you read,You can do it your own way,If it’s done just how I say, ,Independence limited,Freedom of choice,Choice is made for you my friend,Freedom of speech,Speech is words that they will bend,Freedom with their exception, ,Do you know what I know?,Your money and your wealth,Your silence just to hear yourself, ,Do you want what I want?,Desire not a thing,I hunger after independence lengthen freedom’s ring, ,Doesn’t matter what you see,Or into it what you read,You can do it your own way,If it’s done just how I say, ,Independence limited,Freedom of choice,Choice is made for you my friend,Freedom of speech,Speech is words that they will bend,Freedom no longer frees you, ,Doesn’t matter what you see,Or into it what you read,You can do it your own way,If it’s done just how I say
Fade to Black;Metallica;James Hetfield,Lars Ulrich,Cliff Burton,Kirk Hammett;6:55;Ride the Lightning;Album;4;1984-07-27;https://www.metallica.com/songs/fade-to-black.html;Life it seems will fade away,Drifting further every day,Getting lost within myself,Nothing matters no one else, ,I have lost the will to live,Simply nothing more to give,There is nothing more for me,Need the end to set me free, ,Things not what they used to be,Missing one inside of me,Deathly lost this can’t be real,Cannot stand this hell I feel, ,Emptiness is filling me,To the point of agony,Growing darkness taking dawn,I was me but now he’s gone, ,No one but me can save myself but it’s too late,Now I can’t think think why I should even try, ,Yesterday seems as though it never existed,Death greets me warm now I will just say goodbye
Fight Fire with Fire;Metallica;James Hetfield,Lars Ulrich,Cliff Burton;4:44;Ride the Lightning;Album;1;1984-07-27;https://www.metallica.com/songs/fight-fire-with-fire.html;Do unto others as they’ve done to you,But what the hell is this world coming to?, ,Blow the universe into nothingness,Nuclear warfare shall lay us to rest, ,Fight fire with fire,Ending is near,Fight fire with fire,Bursting with fear, ,We all shall die, ,Time is like a fuse short and burning fast,Armageddon’s here like said in the past, ,Fight fire with fire,Ending is near,Fight fire with fire,Bursting with fear, ,Soon to fill our lungs the hot winds of death,The gods are laughing so take your last breath, ,Fight fire with fire,Ending is near,Fight fire with fire,Bursting with fear, ,Fight fire with fire, ,Fight
Fixxxer;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;8:15;Reload;Album;13;1997-11-18;https://www.metallica.com/songs/fixxxer.html;Dolls of voodoo all stuck with pins,One for each of us and our sins,So you lay us in a line,Push your pins they make us humble,Only you can tell in time,If we fall or merely stumble, ,But tell me can you heal what father’s done?,Or fix this hole in a mother’s son?,Can you heal the broken worlds within?,Can you strip away so we may start again?, ,Tell me can you heal what father’s done?,Or cut this rope and let us run?,Just when all seems fine and I’m pain-free,You jab another pin jab another pin in me, ,Mirror mirror upon thy wall,Break the spell or become the doll,See you sharpening the pins,So the holes will remind us,We’re just the toys in the hands of another,And in time the needles turn from shine to rust, ,But tell me can you heal what father’s done?,Or fix this hole in a mother’s son?,Can you heal the broken worlds within?,Can you strip away so we may start again?, ,Tell me can you heal what father’s done?,Or cut this rope and let us run?,Just when all seems fine and I’m pain-free,You jab another pin jab another pin in me, ,Blood for face sweat for dirt,Three Xs for the stone,To break this curse a ritual’s due,I believe I’m not alone,Shell of shotgun pint of gin,Numb us up to shield the pins,Renew our faith which way we can,To fall in love with life again,To fall in love with life again,To fall in love with life again,To fall in love,To fall in love,To fall in love with life again, ,So tell me can you heal what father’s done?,Or fix this hole in a mother’s son?,Can you heal the broken worlds within?,Can you strip away so we may start again?, ,Tell me can you heal what father’s done?,Or cut this rope and let us run?,Just when all seems fine and I’m pain-free,You jab another pin jab another pin in me, ,No more pins in me,No more no more pins in me
For Whom the Bell Tolls;Metallica;James Hetfield,Lars Ulrich,Cliff Burton;5:11;Ride the Lightning;Album;3;1984-07-27;https://www.metallica.com/songs/for-whom-the-bell-tolls.html;Make his fight on the hill in the early day,Constant chill deep inside,Shouting gun on they run through the endless grey,On they fight for they’re right yes but who’s to say?,For a hill men would kill. Why? They do not know,Stiffened wounds test their pride,Men of five still alive through the raging glow,Gone insane from the pain that they surely know, ,For whom the bell tolls,Time marches on,For whom the bell tolls, ,Take a look to the sky just before you die,It’s the last time he will,Blackened roar massive roar fills the crumbling sky,Shattered goal fills his soul with a ruthless cry,Stranger now are his eyes to this mystery,Hears the silence so loud,Crack of dawn all is gone except the will to be,Now they see what will be blinded eyes to see, ,For whom the bell tolls,Time marches on,For whom the bell tolls
The Four Horsemen;Metallica;James Hetfield,Lars Ulrich,Dave Mustaine;7:13;Kill 'Em All;Album;2;1983-07-25;https://www.metallica.com/songs/the-four-horsemen.html;By the last breath the fourth winds blow,Better raise your ears,The sound of hooves knock at your door,Lock up your wife and children now,It’s time to wield the blade,For now you’ve got some company, ,The Horsemen are drawing nearer,On leather steeds they ride,They’ve come to take your life,On through the dead of night,With the Four Horsemen ride,Or choose your fate and die, ,You have been dying since the day you were born,You know it’s all been planned,The quartet of deliverance rides,A sinner once a sinner twice,No need for confessions now,‘cause now you’ve got the fight of your life, ,The Horsemen are drawing nearer,On leather steeds they ride,They’ve come to take your life,On through the dead of night,With the Four Horsemen ride,Or choose your fate and die, ,Time,Has taken its toll on you,The lines that crack your face,Famine,Your body it has torn through,Withered in every place,Pestilence,For what you’ve had to endure,And what you have put others through,Death,Deliverance for you for sure,Now there’s nothing you can do, ,So gather ’round young warriors now,And saddle up your steeds,Killing scores with demon swords,Now is the death of doers of wrong,Swing the judgement hammer down,Safely inside armor blood guts and sweat, ,The Horsemen are drawing nearer,On leather steeds they ride,They’ve come to take your life,On through the dead of night,With the Four Horsemen ride,Or choose your fate and die
Frantic;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Bob Rock;5:50;St. Anger;Album;1;2003-06-05;https://www.metallica.com/songs/frantic.html;If I could have my wasted days back,Would I use them to get back on track?,Stop to warm and karma’s burning,Or look ahead but keep on turning?, ,Do I have the strength,To know how I’ll go?,Can I find it inside,To deal with what I shouldn’t know?, ,Could I have my wasted days back,Would I use them to get back on track?, ,You live it or lie it!, ,My lifestyle determines my deathstyle, ,Keep searching keep on searching,This search goes on this search goes on, ,Frantic-tick- tick- tick- tick- tick- tick- tock,Frantic-tick- tick- tick- tick- tick- tick- tock, ,I’ve worn out always being afraid,An endless stream of fear that I’ve made,Treading water full of worry,This frantic tick tick talk of hurry, ,Do I have the strength,To know how I’ll go?,Can I find it inside,To deal with what I shouldn’t know?, ,Worn out on always being afraid,An endless stream of fear that I’ve made, ,You live it or lie it!, ,My lifestyle determines my deathstyle, ,Keep searching keep on searching,This search goes on this search goes on, ,Frantic-tick- tick- tick- tick- tick- tick- tock,Frantic-tick- tick- tick- tick- tick- tick- tock, ,My lifestyle (Birth is pain),Determines my deathstyle (Life is pain),A rising tide (Death is pain),That pushes to the other side (It’s all the same)
The Frayed Ends of Sanity;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;7:43;...And Justice for All;Album;7;1988-08-25;https://www.metallica.com/songs/the-frayed-ends-of-sanity.html;Never hunger,Never prosper,I have fallen prey to failure,Struggle within,Triggered again,Now the candle burns at both ends, ,Twisting under schizophrenia,Falling deep into dementia, ,Old habits reappear,Fighting the fear of fear,Growing conspiracy,Everyone’s after me,Frayed ends of sanity,Hear them calling,Hear them calling me, ,Birth of terror,Death of much more,I’m the slave of fear my captor,Never warnings,Spreading its wings,As I wait for the horror she brings, ,Loss of interest question wonder,Waves of fear they pull me under, ,Old habits reappear,Fighting the fear of fear,Growing conspiracy,Everyone’s after me,Frayed ends of sanity,Hear them calling,Hear them calling me, ,Into ruin,I am sinking,Hostage of this nameless feeling,Hell is set free,Flooded I’ll be,Feel the undertow inside me, ,Height hell time haste terror tension,Life death want waste mass depression, ,Old habits reappear,Fighting the fear of fear,Growing conspiracy,Myself is after me,Frayed ends of sanity,Hear them calling,Frayed ends of sanity,Hear them calling,Hear them calling me
Free Speech for the Dumb;Discharge;Cal Morris,Roy Wainwright,Gary Maloney,Tony Roberts;2:36;Garage Inc.;Covers;1;1998-11-24;https://www.metallica.com/songs/free-speech-for-the-dumb.html;Free speech free speech for the dumb,Free speech free speech for the dumb,Free speech free speech for the dumb,Free fuckin’ speech
Frustration;Metallica;Lou Reed,James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;8:35;Lulu;Collaborative;7;2011-10-31;https://www.metallica.com/songs/frustration.html;Frustration,In my lexicon of hate,I see you with your portraiture,Does he love you?,Does he love you too?, ,The brush strokes,Kiss your breasts and toes,I cry icicles in my stein,The heartbeats flutter,With an abnormal rhythm, ,The pain shoots through my body,A sword between my thighs,I wish that I could kill you,But I too love your eyes, ,You’re feeling less whore but you stimulate,The hatred smolders in your eyes,I’d drop to my knees in a second,To salivate in your thighs, ,But all I do is fall over,I don’t have the strength I once had,In you and your prickless lover,And his easel in his eyes, ,I feel the pain creep up my leg,Blood runs from my nose,I puke my guts out at your feet,You’re more man than I,To be dead to have no feeling,To be dry and spermless like a girl, ,I want so much to hurt you,I want so much to hurt you,I want so much to hurt you,Marry me,I want you as my wife, ,Spermless like a girl,More man than I,More man than I, ,Frustration,In my lexicon of hate,You’re feeling less like a whore but you,Stimulate, ,All I do is fall over,I don’t have the strength I once had,All I do is fall over,I don’t have the strength I once had, ,I want you so much to hurt you,I want so much to hurt you,I want so much to hurt you,I want you as a wife, ,Frustration is my lexicon of hate,Frustration is my lexicon of hate,Fru- fru- frustration my lexicon of hate, ,I cry icicles,Heartbeats flutter,Abnormal rhythm, ,I wish that I could kill you,But I too love your eyes,I want you as my wife,I want you as my wife,Spermless like a girl, ,Lucky in feeling,More man than I,Marry me marry me marry me,I want you as a wife,Spermless like a girl,Puking my guts at your feet,More man than I,Fru- fru- fru- frustration,Frustration
Fuel;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;4:30;Reload;Album;1;1997-11-18;https://www.metallica.com/songs/fuel.html;Gimme fuel gimme fire,Gimme that which I desire, ,Turn on I see red,Adrenaline crash and crack my head,Nitro junkie paint me dead,And I see red, ,One hundred plus through black and white,Warhorse warhead,Fuck ‘em man white-knuckle tight,Through black and white, ,On I burn,Fuel is pumping engines,Burning hard loose and clean,And on I burn,Churning my direction,Quench my thirst with gasoline, ,So gimme fuel gimme fire,Gimme that which I desire, ,Turn on beyond the bone,Swallow future spit out home,Burn your face upon the chrome, ,Take the corner join the crash,Headlights head on headlines,Another junkie lives too fast,Lives way too fast, ,On I burn,Fuel is pumping engines,Burning hard loose and clean,And on I burn,Churning my direction,Quench my thirst with gasoline, ,So gimme fuel gimme fire,Gimme that which I desire, ,White-knuckle tight, ,Gimme fuel,Gimme fire,My desire, ,On I burn,Fuel is pumping engines,Burning hard loose and clean,And on I burn,Churning my direction,Quench my thirst with gasoline, ,Gimme fuel gimme fire,Gimme that which I desire
Funeral for a Friend/Love Lies Bleeding;Elton John;Elton John,Bernie Taupin;;;;;;https://www.metallica.com/songs/funeral-for-a-friend-love-lies-bleeding.html;The roses in the window box,Have tilted to one side,Everything about this house,Was born to grow and die, ,Oh it doesn't seem a year ago,To this very day,You said I'm sorry honey,If I don't change the pace,I can't face another day, ,And love lies bleeding in my hand,Oh it kills me to think of you with another man,I was playing rock and roll and you were just a fan,But my guitar couldn't hold you,So I split the band,Love lies bleeding in my hands, ,I wonder if those changes,Have left a scar on you,Like all the burning hoops of fire,That you and I passed through, ,You're a bluebird on a telegraph line,I hope you're happy now,Well if the wind of change comes down your way girl,You'll make it back somehow
The God That Failed;Metallica;James Hetfield,Lars Ulrich;5:08;Metallica;Album;10;1991-08-12;https://www.metallica.com/songs/the-god-that-failed.html;Pride you took,Pride you feel,Pride that you felt when you’d kneel, ,Not the word,Not the love,Not what you thought from above, ,It feeds,It grows,It clouds all that you will know, ,Deceit,Deceive,Decide just what you believe, ,I see faith in your eyes,Never you hear the discouraging lies,I hear faith in your cries, ,Broken is the promise betrayal,The healing hand held back by the deepened nail,Follow the god that failed, ,Find your peace,Find your say,Find the smooth road on your way, ,Trust you gave,A child to save,Left you cold and him in grave, ,It feeds,It grows,It clouds all that you will know, ,Deceit,Deceive,Decide just what you believe, ,I see faith in your eyes,Never you hear the discouraging lies,I hear faith in your cries, ,Broken is the promise betrayal,The healing hand held back by the deepened nail,Follow the god that failed, ,Pride you took,Pride you feel,Pride that you felt when you’d kneel, ,Trust you gave,A child to save,Left you cold and him in grave, ,I see faith in your eyes,Never you hear the discouraging lies,I hear faith in your cries, ,Broken is the promise betrayal,The healing hand held back by the deepened nail,Follow the god that failed
Green Hell;The Misfits;Glenn Danzig;;;;;;https://www.metallica.com/songs/green-hell.html;Here in this place lies the key to your death,Touch it see it, ,Here in this place is a means to your end,Touch it feel it,Green hell, ,You’ve come to this like no one could,I bet you never knew you would,And don’t you run away from it,I bet you thought you really could, ,We’re gonna burn in hell,Green hell,Like every hell but kind of green,In hell green hell,We’re gonna face the mess we’re,In hell green hell,I think I’d rather be up here,In hell green hell,You know I fucking shake apart,In hell green hell,Gotta find a way that you will stay,Green hell,Cannot forget about the heat,In hell green hell,Hell is green I need a flame,In hell green hell, ,Gotta burn in hell,Green hell, ,You’ve come to this like no one could,I bet you never knew you would,And don’t you run from it,I bet you thought you really could, ,Here in this place is the key to your death,Touch it see it, ,Here in this place is a means to your end,Touch it feel it, ,You’ve come to this like no one could,I bet you never knew you would,And don’t you run away from anything,I bet you thought you really could,You’ve come to this like no one could,I bet you never knew you would,We’re gonna burn in Hell, ,Green hell
Halo On Fire;Metallica;James Hetfield,Lars Ulrich;8:15;Hardwired... to Self-Destruct;Album;6;2016-11-18;https://www.metallica.com/songs/halo-on-fire.html;Obey,Obey,Come won’t you stay,Sincere,Sincere,All ends in tears,Endure,Endure,Thoughts most impure,Concede,Concede,But both shall we bleed, ,Oh Halo on fire,The midnight knows it well,Fast is desire,Creates another hell,I fear to turn on the light,For the darkness won’t go away,Fast is desire,Turn out the light,Halo on fire, ,Allure,Allure,Sweetness obscure,Abide,Abide,Secrets inside,Deprive,Deprive,To feel so alive,Obey,Obey,Just don’t turn away, ,Oh Halo on fire,The midnight knows it well,Fast is desire,Creates another hell,I fear to turn on the light,For the darkness won’t go away,Fast is desire,Turn out the light,Halo on fire, ,Prayers cannot get through,Return to sender,Unto which of you,Shall I surrender,Twisting in disguise,Dark resurrection,Lighting up the skies,Wicked perfection, ,Too dark to sleep,Can’t slip away,Open or close,My eyes betray,Beyond the black,Come won’t you stay, ,Hello darkness,Say goodbye,Hello darkness,Say goodbye,Hello darkness,Say goodbye
Hardwired;Metallica;James Hetfield,Lars Ulrich;3:09;Hardwired... to Self-Destruct;Album;1;2016-11-18;https://www.metallica.com/songs/hardwired.html;In the name of desperation,In the name of wretched pain,In the name of all creation,Gone insane, ,We’re so fucked,Shit outta luck,Hardwired to self-destruct, ,On the way to paranoia,On the crooked borderline,On the way to great destroyer,Doom design, ,We’re so fucked,Shit outta luck,Hardwired to self-destruct, ,Once upon a planet burning,Once upon a flame,Once upon a fear returning,All in vain, ,Do you feel that hope is fading?,Do you comprehend?,Do you feel it terminating?,In the end, ,We’re so fucked,Shit outta luck,Hardwired to self-destruct,Hardwired to self-destruct, ,Self-destruct,Self-destruct,Self-destruct
Harvester of Sorrow;Metallica;James Hetfield,Lars Ulrich;5:45;...And Justice for All;Album;6;1988-08-25;https://www.metallica.com/songs/harvester-of-sorrow.html;My life suffocates,Planting seeds of hate,I’ve loved turned to hate,Trapped far beyond my fate, ,I give you take,This life that I forsake,Been cheated of my youth,You turned this lie to truth, ,Anger,Misery,You’ll suffer unto me, ,Harvester of sorrow,Language of the mad,Harvester of sorrow, ,Pure black looking clear,My work is done soon here,Try getting back to me,Get back which used to be, ,Drink up,Shoot in,Let the beatings begin,Distributor of pain,Your loss becomes my gain, ,Anger,Misery,You’ll suffer unto me, ,Harvester of sorrow,Language of the mad,Harvester of sorrow, ,All have said their prayers,Invade their nightmares,To see into my eyes,You’ll find where murder lies, ,Infanticide, ,Harvester of sorrow,Language of the mad,Harvester of sorrow,Language of the mad,Harvester of sorrow
Hate Train;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;6:59;Beyond Magnetic;EP;1;2011-12-13;https://www.metallica.com/songs/hate-train.html;Hate is a train,That thunders aimless through my head,And hate is the fame,Chained to the wheel until I’m dead, ,Rage is a flame,Creates a touch to boil the seas,And rage is to blame,Forever sorry I shall be, ,And from a darkness I descend,Clenching a torch of sweet revenge, ,You took away tomorrow,Still I stand,I ride into the sorrow,Still I stand,You took away tomorrow,Still I stand,Straight down into the sorrow,Still I stand, ,Wrath is the name,Branding suffer onto you,And wrath takes the shame,And holds me down until its through, ,And from a darkness I descend,Clenching a torch of sweet revenge, ,You took away tomorrow,Still I stand,I ride into the sorrow,Still I stand,You took away tomorrow,Still I stand,Straight down into the sorrow,Still I stand, ,And hate is a train,That hungers for those flesh’s call,And hate takes the blame,A beast that never slows at all, ,And from a darkness I descend,Clenching a torch of sweet revenge,Burst into flame the bitter end,And shake these gates of hell again, ,Cursed to drown in sorrow, ,You took away tomorrow,Still I stand,I ride into the sorrow,Still I stand,You took away tomorrow,Still I stand,You left me here with sorrow,Still I stand, ,Still I stand
Head Injury;Soundgarden;Chris Cornell;;;;;;https://www.metallica.com/songs/head-injury.html;Head injury,Head injury,Head injury,Head injury, ,You got a kiss for me it hits me hard,You got a fist for me you love me so hard,My hands on my head your words are like arrows,My hands on my head there’s permanent damage, ,Head injury,Head injury,Head injury,Head injury, ,You got a kiss for me it’s sweet and frail,You got a fist for me sure to impale,My hand on my head your words are like arrows,My hand on my head there’s permanent damage, ,Head injury,Head injury,Head injury,Head injury, ,You got a kiss for me it’s sweet and frail,You got a fist for me sure to impale,My hand on my head your words are like arrows,My hand on my head there’s permanent damage
Hell and Back;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;6:57;Beyond Magnetic;EP;3;2011-12-13;https://www.metallica.com/songs/hell-and-back.html;There’s nowhere else I can run to,She’s wretched but she comforts me, ,After everyone goes home,She’s always there for me, ,When the sun goes hellbound,And the moon does resurrect the night,I’ll hide within her,Not much good has come out of the light, ,After everyone goes home,And I’m left here on my own,I will run straight to Hell and back, ,Straight to Hell and back, ,When they turn out all their lights,And I’m left to brood at night,Always return to Hell and back, ,Straight to Hell and back,Straight down, ,A lonely light in a window,Just longing for some company, ,Tragic heartless and hateful,But there’s nothing as willing as she, ,And when the night has fallen,It falls hard and then it all begins, ,When she starts her calling,I feel my darkness growing from within, ,After everyone goes home,And I’m left here on my own,I will run straight to Hell and back, ,Straight to Hell and back, ,When they turn out all their lights,And I’m left to brood at night,Always return to Hell and back, ,Straight to Hell and back,Straight to Hell and back,I will run straight to Hell and back, ,I become two,We become one,Unbridled... unequaled... unholy... undone, ,The path is cut deep,The path is worn well,I’ll follow my footsteps to the warmth of Hell, ,The warmth of Hell, ,After everyone goes home,And I’m left here on my own,I will run straight to Hell and back, ,Straight to Hell and back,Straight to Hell and back, ,When they turn out all their lights,And I’m left to brood at night,Always return to Hell and back, ,Return to Hell and back,Straight to Hell and back,Straight to Hell and back,I will run straight to Hell and back, ,Straight down
Helpless;Diamond Head;Sean Harris,Brian Tatler;6:39;The $5.98 E.P. – Garage Days Re-Revisited;Covers EP;1;1987-08-21;https://www.metallica.com/songs/helpless.html;I gotta see you moving fast,See you come my way,See the dreams I hope they last,Never fade away,Gotta see the lights above,Make it loud tonight,Gotta set it all a-fire,Set it all a-light, ,See the flashing lights,Hear the thunder roar I am gonna set you all a-light,Gotta make it man I ain’t got a choice,Gotta fill this hall tonight, ,Helpless,Helpless,Helpless,Helpless, ,I don’t what I’m gonna do,Maybe not tonight,Gotta set you all a-fire,Gotta treat you right,I can see the flashing lights,Lit before your love, Gotta hear the thunder roar,Coming from above, ,See the flashing lights,Hear the thunder roar,I’m gonna set you all a-light,Gotta make it man,I ain’t got no choice,Gotta fill this hall tonight, ,Helpless,Helpless,Helpless,Helpless, ,I can see the stars,I can see what’s going on,Every night alone I sing my song just for fun,Only time will tell If I’ll make it myself someday,This stage is mine,Music is my destiny, ,Cannot squeeze the life from me, ,I can see the stars,I can see what’s going on,Every night alone I sing my song just for fun,Only time will tell If I’ll make it myself someday,This stage is mine,Music is my destiny, ,Cannot squeeze the life from me
Here Comes Revenge;Metallica;James Hetfield,Lars Ulrich;7:17;Hardwired... to Self-Destruct;Album;9;2016-11-18;https://www.metallica.com/songs/here-comes-revenge.html;Little grave I’m grieving I will mend you,Sweet revenge I’m dreaming I will end you, ,I’ve been here since dawn of time,Countless hatreds built my shrine,I was born in anger’s flame,He was Abel I was Cain,I am here,I’m hell unbound,Burn your kingdom to the ground,To the ground, ,Here comes revenge just for you,Revenge you can’t undo,Revenge is killing me,Revenge set me free,Eye for an eye tooth for a tooth,A life for a life it’s my burden of proof,Revenge just for you,Revenge,You ask forgiveness I give you sweet revenge, ,I return this nightmare I will find you,Sleepless cloaked in despair I’m behind you, ,Man has made me oh so strong,Blurring lines of right and wrong,Far too late for frail amends,Now it’s come to sweet revenge,Desperate hands,That lose control,Have no mercy on your soul,On your soul, ,Here comes revenge just for you,Revenge you can’t undo,Revenge is killing me,Revenge just set me free,Eye for an eye tooth for a tooth,A life for a life it’s my burden of proof,Revenge just for you,Revenge,You ask forgiveness I give you sweet revenge, ,Here comes revenge just for you,Revenge you can’t undo,Revenge is killing me,Revenge set me free,Eye for an eye tooth for a tooth,A life for a life it’s my burden of proof,Revenge just for you,Revenge,You ask forgiveness I give you sweet revenge, ,Sweet revenge
